90;24/06/2013 00:05;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;99;0;5;;sambo;;24/06/2013 00:05;;tGXNgN8Br,,,,,,,,,,
81;23/06/2013 18:20;A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;3233;0;118;;darkie;;23/06/2013 18:20;darky;jYqw27BMx,,,,,,,,
84;23/06/2013 15:03;People of Mexican descent or, more specifically, mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;beaney;;23/06/2013 15:03;beaner;hauHGm329,,,,,,,,
84;23/06/2013 13:40;A black person, or one attempting to be perceived as black.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;Shelter, particularly from the sun;0;0;0;;shade;;23/06/2013 13:40;;GCcajHF9c,,,,,,,,
93;23/06/2013 12:00;A Jew, an allusion to Jewish deicide. On occasion it can also be used as an anti-Italian slur on the basis the Romans, as ancestors of the present-day Italians, executed Jesus.;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;277;0;13;;Christ killer;;23/06/2013 12:00;;6hCjv3qHW,,,,,,,
93;23/06/2013 11:30;A Muslim female. Probably formed from the name of the Gerudo people, a fantasy race created in the Legend of Zelda series.;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;;Gerudo;;23/06/2013 11:30;;8K3krCHve,,,,,,,,,
89;23/06/2013 11:10;A German Jew.;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;eng;;0;0;0;;gew;;23/06/2013 11:10;;NnqUcvJc7,,,,,,,,,,
78;23/06/2013 07:40;An Irish Traveller.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Shelta;;23/06/2013 07:40;;ZVMw8fRnB,,,,,,,,,,
89;23/06/2013 06:30;A person of Asian descent, particularly Vietnamese or Chinese.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;slopy;;23/06/2013 06:30;slope;Au9ewvmY4,,,,,,,,,
79;23/06/2013 06:10;A person of Asian descent.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A narrow opening;0;0;0;;slit;;23/06/2013 06:10;;uJp3C8U2e,,,,,,,,,,
45;23/06/2013 04:40;A white Australian, alluding to Skippy the Bush Kangaroo, a once-popular Australian television show for children.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Skippy;;23/06/2013 04:40;Skip;PnKtFbdP8,,,,,,,,
69;23/06/2013 04:16;An African-American perceived as being lazy and who refuses to work.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;134;0;10;;bluegum;;23/06/2013 04:16;;Hc3FE6nRr,,,,,,,,,,
70;23/06/2013 03:20;Used to describe urban blacks.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A predominantly poor community;0;0;0;;ghetto;;23/06/2013 03:20;;dpKKz2ueM,,,,,,,,,,
61;23/06/2013 02:52;A person of Asian descent with perceived Caucasian mannerisms. Concatenation of Chinese and honky.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;546;0;30;;chonky;;23/06/2013 02:52;;ee8aGRy7j,,,,,,,,,,
89;23/06/2013 02:52;A person of Asian descent with perceived Caucasian mannerisms. Concatenation of Chinese and honky.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;An uneven aggregate of ingredients;0;0;0;;chunky;;23/06/2013 02:52;chonky;929NC47jm,,,,,,,,,,
71;23/06/2013 02:00;A very High Church Anglican or Anglo-Catholic.;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;A large nail;0;0;0;;spike;;23/06/2013 02:00;;tkGyaCR69,,,,,,,,,,
96;23/06/2013 00:00;A person of East Asian descent in reference to the appearance of the eyes, similar to 'slant'.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;squinty;;23/06/2013 00:00;;FVnxUw2zf,,,,,,,,,
98;22/06/2013 22:56;A rural person or resident of a small town.;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1582;2;64;;goober;;22/06/2013 22:56;;6a4qKRvhx,,,,,,,,,,
87;22/06/2013 22:50;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;sub human;;22/06/2013 22:50;;dRg2yyahb,,,,,,,,,,
81;22/06/2013 19:06;A person of Italian birth or descent. Most likely derived from 'Guinea Negro,' implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive 'Ginzo' probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;2;0;0;;guinea;;22/06/2013 19:06;;t8xZQvM7C,,,,,,,,,
74;22/06/2013 18:38;Originates from pre-Civil War US. Refers to the slaves who picked cotton all day at the plantations.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;4487;0;219;;cotton picker;;22/06/2013 18:38;;4m74BQfBX,,,,,,,,,,
99;22/06/2013 17:57;A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;5;0;0;;greaser;;22/06/2013 17:57;greaseball;8yw69tP76,,,,,,,,,,
72;22/06/2013 06:51;A Jewish person, originated in Merchant of Venice.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;600;1;6;;Shylock;;22/06/2013 06:51;;jTNK8JwU9,,,,,,,,,
58;22/06/2013 02:49;[1] A Japanese soldier or national, or anyone of Japanese descent. [2] Acronym for 'Jewish-American Princess.';FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;US;eng;;253;0;2;;Jap;;22/06/2013 02:49;;ztGNRW8Jz,,,,,,,,,
86;22/06/2013 02:02;An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;316;0;10;;diaper head;;22/06/2013 02:02;raghead;2vyCBBzV9,,,,,,,,,
80;22/06/2013 01:10;A white or non-Asian person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;129;0;12;;roundeye;;22/06/2013 01:10;;hX9VtZjnv,,,,,,,,,,
97;22/06/2013 00:12;A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A dance, often impromptu;0;0;0;;jig;;22/06/2013 00:12;jigaboo;xpxj2tK9n,,,,,,,,
86;22/06/2013 00:12;A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;3;0;3;;jijjiboo;;22/06/2013 00:12;jigaboo;TWVUM7xdk,,,,,,,,,
98;21/06/2013 23:37;As with Uncle Tom, a reference to a black person who is subservient to whites.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;2704;0;81;;house nigger;;21/06/2013 23:37;;HP8tddveZ,,,,,,,,,
74;21/06/2013 21:28;A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;325;0;21;;jocky;;21/06/2013 21:28;jock;uDhg9Mbb4,,,,,
81;21/06/2013 16:19;A person who is 1/8th Black. Originated by the Spanish in the 14th/15th century as they were very exact in their racial classifications to determine a person's worth in society.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;1000;0;156;;octaroon;;21/06/2013 16:19;octroon;T2RDQb6xa,,,,,,,,,,
86;21/06/2013 16:05;A person of East Indian origin.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;8;0;1;;curry stinker;;21/06/2013 16:05;curry muncher;PFnJ6FkJa,,,,,,,,,,
99;21/06/2013 15:09;[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;;eng;;128;0;0;;white nigger;;21/06/2013 15:09;;D6Jtu6NYX,,,,,,
86;21/06/2013 14:11;A Caucasian.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;708;0;29;;whitey;;21/06/2013 14:11;;mrjdR4WKT,,,,,,,,,,
86;21/06/2013 13:20;Acronym for White Irish Catholic.;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;;WIC;;21/06/2013 13:20;;96yhy3Hk2,,,,,,,,,,
80;21/06/2013 11:00;A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;Pull;0;0;0;;Yank;;21/06/2013 11:00;;ER94TMbB8,,,,,,,,,,
80;21/06/2013 10:20;A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Yankee;;21/06/2013 10:20;Yank;nC939xC3k,,,,,,,,,,
90;21/06/2013 06:04;A German, most specifically during World War II. From Sauerkraut.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;288;0;24;;kraut;;21/06/2013 06:04;;gGB7u9Xqq,,,,,,,,,
79;21/06/2013 02:50;An Asian person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;278;0;19;;lemonhead;;21/06/2013 02:50;;3ADEZNZ6x,,,,,,,,,,
73;21/06/2013 02:50;Similar to 'American.';FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Merkin;;21/06/2013 02:50;;xY7ymknxp,,,,,,,,,,
92;21/06/2013 01:42;Zionist Occupation Government, an organization hypothesized by white supremacists to rule the world.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;US;eng;;671;0;20;;ZOG;;21/06/2013 01:42;;hxZtJMKt3,,,,,,,,,
88;20/06/2013 18:14;An Asian woman, particularly of Chinese descent.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;;eng;;264;0;15;;sideways pussy;;20/06/2013 18:14;sideways vagina;uAuJGgQ9f,,,,,,,,,
74;20/06/2013 09:29;A Native American.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;818;0;57;;cowboy killer;;20/06/2013 09:29;;B4tfQxY3Q,,,,,,,,,,
81;20/06/2013 07:22;An Italian person. Originated through the mispronunciation of 'Italian' as 'Eye-talian.';FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;;eng;;224;1;21;;eyetie;;20/06/2013 07:22;;9RbmyaNJr,,,,,,,,,,
84;19/06/2013 20:55;A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;58;0;5;;proddy dog;;19/06/2013 20:55;prod;64mQJ3KAE,,,,,,,,,
98;19/06/2013 19:53;A Native American.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;121;0;2;;prairie nigger;;19/06/2013 19:53;;H8g8GZ4Ax,,,,,,,,,,
76;19/06/2013 16:25;Used in the north of England, the term originates from the inability of southern Englishmen being unable to consume amounts of alcohol over 2 units at any one period. ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;GB;eng;;282;0;20;;Southern fairy;;19/06/2013 16:25;;a3m8GPkcf,,,,,,,,,
72;19/06/2013 06:34;A person of Cajun ethnicity.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;3465;0;161;;coon ass;;19/06/2013 06:34;;ZGgc8Fan8,,,,,,,,,,
89;19/06/2013 04:07;A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;341;0;19;;moulie;;19/06/2013 04:07;;3K3zQvqm9,,,,,,,,
94;19/06/2013 02:40;An Asian woman, particularly of Chinese descent.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;;eng;;607;0;22;;sideways vagina;;19/06/2013 02:40;;7y2VTFXCn,,,,,,,,,
95;19/06/2013 02:30;Person of Middle Eastern descent.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;353;0;46;;camel humper;;19/06/2013 02:30;camel jockey;fz6E48ehr,,,,,,,,,,
88;18/06/2013 23:11;A person of foreign nationality.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;A chain, particularly when used with a timepiece;0;0;0;;FOB;;18/06/2013 23:11;fresh off the boat;g9QGBUKJP,,,,,,,,,
52;18/06/2013 23:11;A person of foreign nationality.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;2;0;0;;fresh off the boat;;18/06/2013 23:11;;2DEurVX63,,,,,,,,,,
75;18/06/2013 21:33;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A wall which encloses the end of a pitched roof;0;0;0;;gable;;18/06/2013 21:33;;nQZaZ9NbF,,,,,,,,,,
93;18/06/2013 20:04;A black person, originating with the suit in a deck of cards.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;Shovel;0;0;0;;spade;;18/06/2013 20:04;;yFQ74vr9C,,,,,,,,,
87;18/06/2013 18:10;A Native American person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;328;0;21;;wagon burner;;18/06/2013 18:10;;UbKAZ2J3B,,,,,,,,,,
89;18/06/2013 01:40;A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;75;0;0;;moulignon;;18/06/2013 01:40;moulie;Wzwy99PA8,,,,,,,,
85;18/06/2013 00:57;A person of Latino descent, particularly a Mexican migrant laborer.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;104;0;10;;border bunny;;18/06/2013 00:57;wetback;7BtqnhDHy,,,,,,,,,
99;17/06/2013 22:13;A person of Arab descent.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;1164;1;41;;dune coon;;17/06/2013 22:13;sand nigger;qb2KqVgnC,,,,,,,,,,
81;17/06/2013 19:50;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;62;0;13;;mosshead;;17/06/2013 19:50;;PwM7XTJHW,,,,,,,,,,
97;17/06/2013 18:37;An Asian, especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;286;0;23;;gooky;;17/06/2013 18:37;gook;GHxF7bn87,,,,,,,,,
82;17/06/2013 18:11;A person of Latino descent, particularly a Mexican migrant laborer.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;1811;0;135;;border jumper;;17/06/2013 18:11;wetback;JfzXrQr7x,,,,,,,,,
68;16/06/2013 13:12;A Hindu person with preceived black mannerisms.;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;178;0;17;;higger;;16/06/2013 13:12;;Ywy6VyXT8,,,,,,,,,,
97;16/06/2013 08:27;[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;1340;2;35;;gippo;;16/06/2013 08:27;gyppo;N4DyxwBHg,,,,,,,,,
90;15/06/2013 21:23;[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;2126;0;96;;gyppo;;15/06/2013 21:23;;EZKArmFB3,,,,,,,,,
90;15/06/2013 05:18;A person of predominantly Caucasian ancestry with real or suspected African or Asian distant ancestry.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;333;0;8;;touch of the tar brush;;15/06/2013 05:18;;tP4pHEaRC,,,,,,,,,,
76;07/06/2013 13:53;[1] A person from Jamaica, sometimes derogatory, referring to gang membership or low economic status. [2] In the UK, can be used broadly to denote a black person with gang association and/or engaging in criminal behavior.;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;GB;eng;;2295;0;66;;yardie;;07/06/2013 13:53;;g4VgeMDUH,,,,,,,
78;05/06/2013 14:13;A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;An exclamation intended to scare the listener;1;0;0;;boo;;05/06/2013 14:13;jigaboo;RDX92tdyM,,,,,,,,,
55;02/06/2013 22:24;A person of Hispanic descent, from the singer of the same name.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;746;0;6;;Rico Suave;;02/06/2013 22:24;;V7KK9jdja,,,,,,,,,
68;02/06/2013 05:49;Southern laborer-class whites.;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1188;0;78;;redneck;;02/06/2013 05:49;;yFMmh3ezd,,,,,,,,,,
84;01/06/2013 23:05;A Muslim.;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;5200;0;184;;muzzie;;01/06/2013 23:05;;b7PHp7TKN,,,,,,,,,,
44;01/06/2013 13:46;A homosexual.;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;Unusual;960;0;39;;queer;;01/06/2013 13:46;;V4Jc79fhB,,,,,,,,,,
99;31/05/2013 04:10;A black child.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;4099;0;143;;nigglet;;31/05/2013 04:10;niglet;cyx7mvDEF,,,,,,,,,,
99;30/05/2013 22:34;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;5753;0;244;;niggur;;30/05/2013 22:34;nigger;WeZJrBa82,,,,,,,,,,
99;30/05/2013 19:55;A black child.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;3962;0;217;;niglet;;30/05/2013 19:55;;tTWJV3kr3,,,,,,,,,,
75;28/05/2013 23:17;A white person, from Pig Latin for 'foe.';FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;815;0;26;;ofay;;28/05/2013 23:17;;xfb7ykAzV,,,,,,,,,
97;28/05/2013 08:39;Derived from 'turnpike'. [1] An Irish person. [2] A gypsy. [3] An itinerant or vagrant lower-class or poor person.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;piky;;28/05/2013 08:39;pikey;dfp72czzG,,,,,,,,,,
78;28/05/2013 00:45;Derived from 'turnpike'. [1] An Irish person. [2] A gypsy. [3] An itinerant or vagrant lower-class or poor person.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;A person who prefers not to spend money;410;0;17;;piker;;28/05/2013 00:45;pikey;Bw33KZbKj,,,,,,,,,,
99;28/05/2013 00:35;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;279;0;7;;niggor;;28/05/2013 00:35;nigger;jhB2e99jH,,,,,,,,,,
86;27/05/2013 07:54;Australian Aboriginal person. Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas, Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is to deliberately offend, as that word's status as an insult is unequivocal.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;abbo;;27/05/2013 07:54;abo;pRMFc3bQC,,,,,
100;26/05/2013 21:29;An African, used by white Rhodesians.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;af;;26/05/2013 21:29;;BWd7HQVz7,,,,,,,,,
74;26/05/2013 05:13;A black person, originated in the US in the 1950s.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;0;;sooty;;26/05/2013 05:13;;Nqm8FJxVw,,,,,,,,,
72;26/05/2013 05:13;A black person, especially a black child. More commonly used in states where alligators are found, particularly Florida. First used in the early 20th century, although some hypothesize the term originated in the late 19th century.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;666;0;33;;alligator bait;;26/05/2013 05:13;;97uyVYFXG,,,,,,,
86;26/05/2013 05:13;A black person;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A primate;1;0;0;;ape;;26/05/2013 05:13;;hQQf3gUwU,,,,,,,,,,
91;26/05/2013 05:13;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A billiards ball;1;0;0;;eight ball;;26/05/2013 05:13;;JRP2kr36P,,,,,,,,,,
97;26/05/2013 05:13;Black children.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;1306;0;87;;pickaninny;;26/05/2013 05:13;;jh3mcgDeW,,,,,,,,,,
72;25/05/2013 17:17;Found offensive, although it is a translation of the Chinese. It was used in the gold rush and railway-construction eras in western North America, when discrimination against Chinese was common.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;;eng;;2993;0;144;;Chinaman;;25/05/2013 17:17;;XZCB3fVua,,,,,,,,
99;25/05/2013 07:08;A black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;67;0;5;;nigor;;25/05/2013 07:08;nigger;AZehm4x3h,,,,,,,,,,
77;24/05/2013 22:37;[1] A Chinese person trying to act like a black person. [2] A person of mixed black and Asian parentage.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;A mite;0;0;0;;chigger;;24/05/2013 22:37;;JKgDa2T3h,,,,,,,,,,
94;24/05/2013 00:48;A black person, from the black Muslims which invaded Europe during the Middle Ages.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;[1] Uncultivated land [2] Muslim inhabitants of the Maghreb, the Iberian Peninsula, Sicily, Sardinia, Corsica, and Malta during the Middle Ages;0;0;0;;Moor;;24/05/2013 00:48;;gyhqb9PXg,,,,
"43;22/05/2013 22:32;""Used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them """"Bengali"""" indicates they should be eliminated from Myanmar."";FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;eng;A Bengali citizen or inhabitant of Bangladesh;0;0;0;;Bengali;;22/05/2013 22:32;;T6auDhq9R",,,,,,,,,,
93;22/05/2013 22:31;Referring to Muslims in Myanmar as an invasive species;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;32;0;8;;African catfish;;22/05/2013 22:31;;6HMveGX48,,,,,,,,,,
85;22/05/2013 04:39;A person of Latino descent, particularly a Mexican migrant laborer.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;1257;0;17;;border hopper;;22/05/2013 04:39;wetback;P6gZG7Tcf,,,,,,,,,
77;21/05/2013 23:56;A Scientologist, referring to a passage about clam engrams in L. Ron Hubbard's 1952 book, What To Audit, later renamed The History Of Man;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;A mollusk;0;0;0;;clam;;21/05/2013 23:56;clamhead;NegH8tRA7,,,,,,,
77;21/05/2013 23:56;A Scientologist, referring to a passage about clam engrams in L. Ron Hubbard's 1952 book, What To Audit, later renamed The History Of Man;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;;clamhead;;21/05/2013 23:56;;wKYjEED2R,,,,,,,
56;21/05/2013 17:44;White on the inside and brown on the outside, like a Bounty chocolate bar. As with wigger, this is both a subcultural and ethnic slur. The immediate target is criticized for having the cultural values of a different ethnic group, with the implication that the ethnic group in question is bad or inferior. Coconut and Oreo are used in the same way.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Bounty bar;;21/05/2013 17:44;;uGFBj7UHj,,,,,,,
55;21/05/2013 14:40;A person of German descent.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;boxhead;;21/05/2013 14:40;;4UkBP2jYD,,,,,,,,,,
78;20/05/2013 21:23;A person of east-central European descent. Originally referred to those of Bohemian (now Czech Republic) descent. It was commonly used toward Ukrainian immigrants during the early 20th century.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;520;0;35;;bohunk;;20/05/2013 21:23;;amk8z3BXK,,,,,,,,,,
"99;20/05/2013 16:39;""[1] Australian aboriginal. Boong", pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand," a Pacific Islander."";FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;bunga;;20/05/2013 16:39;boong;nr4uAE2QZ",,
